,code,2016/01,2016/02,2016/03,2016/04,2016/05,2016/06,2016/07,2016/08,2016/09,2016/10,2016/11,2016/12,2017/01,2017/02,2017/03,2017/04,2017/05,2017/06,2017/07,2017/08,2017/09,2017/10,2017/11,2017/12,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12
62,T1777,,,187.97,,,,,,,,,,,,178.68,,,,,,,,,,,,134.24,,,,,,,,,,,,128.16,,,,,,,,,,,,82.92,,,,,,,,,,,,71.9,,,,,,,,,
63,T1780,,,,,,,,,60.92,,,,,,,,,,,,58.76,,,,,,59.25,,,,,,,,,,,,63.29,,,,,,,,,,,,34.62,,,,,,,,,,,,34.13,,,,,,,,,
64,T1786,,,74.55,,,,,,,,,,,,74.8,,,,,,,,,,,,69.85,,,,,,,,,,,,64.27,,,,,,,,,,,,61.61,,,,,,,,,,,,65.08,,,,,,,,,
65,T1787,,,47.2,,,,,,,,,,,,47.23,,,,,,,,,,,,47.02,,,,,,,,,,,,50.67,,,,,,,,,,,,48.48,,,,,,,,,,,,50.96,,,,,,,,,
66,T1788,,,,,,45.23,,,,,,,,,,,,40.25,,,,,,,,,,,,46.43,,,,,,,,,,,,51.04,,,,,,,,,,,,58.6,,,,,,,,,,,,82.62,,,,,,
67,T1793,,,59.46,,,,,,,,,,,,56.2,,,,,,,,,,,,52,,,,,,,,,,,,47.56,,,,,,,,,,,,42.57,,,,,,,,,,,,37.79,,,,,,,,,
68,T1795,,,,,,,,,114.15,,,,,,,,,,,,119.15,,,,,,,,,,,,108.36,,,,,,,,,,,,121.51,,,,,,,,,,,,75.3,,,,,,,,,,,,64.78,,,
69,T1798,,,198.12,,,,,,,,,,,,217.86,,,,,,,,,,,,200.94,,,,,,,,,,,,184.62,,,,,,,,,,,,193.11,,,,,,,,,,,,155.74,,,,,,,,,
70,T1799,,,24.99,,,,,,,,,,,,21.74,,,,,,,,,,,,20.53,,,,,,,,,,,,15.56,,,,,,,,,,,,14.55,,,,,,,,,,,,18.75,,,,,,,,,
71,T1801,,,223.68,,,,,,,,,,,,214.39,,,,,,,,,,,,199.17,,,,,,,,,,,,168.17,,,,,,,,,,,,173.25,,,,,,,,,,,,145.77,,,,,,,,,
72,T1802,,,239.8,,,,,,,,,,,,205.59,,,,,,,,,,,,178.57,,,,,,,,,,,,166.92,,,,,,,,,,,,159.8,,,,,,,,,,,,135.12,,,,,,,,,
73,T1803,,,256.27,,,,,,,,,,,,197.73,,,,,,,,,,,,174.05,,,,,,,,,,,,154.41,,,,,,,,,,,,158.72,,,,,,,,,,,,134.27,,,,,,,,,
74,T1807,,,177.52,,,,,,,,,,,,132.07,,,,,,,,,,,,122.62,,,,,,,,,,,,108.48,,,,,,,,,,,,99.54,,,,,,,,,,,,85.73,,,,,,,,,
75,T1808,,,180.93,,,,,,,,,,,,131.98,,,,,,,,,,,,109.6,,,,,,,,,,,,97.65,,,,,,,,,,,,95.15,,,,,,,,,,,,134.43,,,,,,,,,
76,T1810,,,142.64,,,,,,,,,,,,109.93,,,,,,,,,,,,116.8,,,,,,,,,,,,83.04,,,,,,,,,,,,73.99,,,,,,,,,,,,75.82,,,,,,,,,
77,T1811,,,151.98,,,,,,,,,,,,156.02,,,,,,,,,,,,138.38,,,,,,,,,,,,137.54,,,,,,,,,,,,156.3,,,,,,,,,,,,107.98,,,,,,,,,
78,T1812,,,365.24,,,,,,,,,,,,312.89,,,,,,,,,,,,229.72,,,,,,,,,,,,183.63,,,,,,,,,,,,182.97,,,,,,,,,,,,144.18,,,,,,,,,
79,T1813,,,106.63,,,,,,,,,,,,96.35,,,,,,,,,,,,108.3,,,,,,,,,,,,105.28,,,,,,,,,,,,91.65,,,,,,,,,,,,81.59,,,,,,,,,
80,T1814,,,322.03,,,,,,,,,,,,239.91,,,,,,,,,,,,178.3,,,,,,,,,,,,168.4,,,,,,,,,,,,136.76,,,,,,,,,,,,114.84,,,,,,,,,
81,T1815,,,300.36,,,,,,,,,,,,271.46,,,,,,,,,,,,238.36,,,,,,,,,,,,209.58,,,,,,,,,,,,236.3,,,,,,,,,,,,194.29,,,,,,,,,
82,T1820,,,124.22,,,,,,,,,,,,128.38,,,,,,,,,,,,106.98,,,,,,,,,,,,134.5,,,,,,,,,,,,149.56,,,,,,,,,,,,128.42,,,,,,,,,
83,T1821,,,697.38,,,,,,,,,,,,453.12,,,,,,,,,,,,318.02,,,,,,,,,,,,271.47,,,,,,,,,,,,265.97,,,,,,,,,,,,257.04,,,,,,,,,
84,T1822,,,149.13,,,,,,,,,,,,143,,,,,,,,,,,,134.75,,,,,,,,,,,,134.22,,,,,,,,,,,,136.69,,,,,,,,,,,,134.77,,,,,,,,,
85,T1826,,,100.13,,,,,,,,,,,,91.63,,,,,,,,,,,,93.64,,,,,,,,,,,,88.59,,,,,,,,,,,,106.12,,,,,,,,,,,,78.23,,,,,,,,,
86,T1827,,,269.42,,,,,,,,,,,,212.11,,,,,,,,,,,,210.53,,,,,,,,,,,,188.84,,,,,,,,,,,,148.21,,,,,,,,,,,,133.26,,,,,,,,,
87,T1828,,,99,,,,,,,,,,,,91.45,,,,,,,,,,,,89.03,,,,,,,,,,,,97.59,,,,,,,,,,,,83.35,,,,,,,,,,,,81.77,,,,,,,,,
88,T1832,,,71.59,,,,,,,,,,,,72.31,,,,,,,,,,,,68.35,,,,,,,,,,,,71.4,,,,,,,,,,,,64.59,,,,,,,,,,,,58.98,,,,,,,,,
89,T1833,,,87.56,,,,,,,,,,,,90.7,,,,,,,,,,,,88.22,,,,,,,,,,,,77.1,,,,,,,,,,,,84.55,,,,,,,,,,,,86.22,,,,,,,,,
90,T1835,,,87.83,,,,,,,,,,,,80.27,,,,,,,,,,,,67.41,,,,,,,,,,,,67.68,,,,,,,,,,,,68.29,,,,,,,,,,,,51.14,,,,,,,,,
91,T1840,,,,,,,,,,7.43,,,,,,,,,,,,3.59,,,,,,,,,,,,2.02,,,,,,,,,,,,2.03,,,,,,,,,,,,2.57,,,,,,,,,,,,2.05,,
92,T1841,,,21.84,,,,,,,,,,,,27.82,,,,,,,,,,,,29.77,,,,,,,,,,,,34.3,,,,,,,,,,,,27.11,,,,,,,,,,,,17.91,,,,,,,,,
93,T1844,,,,,,,69.77,,,,,,,,,,,,89,,,,,,,,,,,,72.89,,,,,,,,,,,,106.97,,,,,,,,,,,,118.94,,,,,,,,,,,,100.36,,,,,
