,,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算
東鉄工業,T1835,,,67.68,,,,,,,,,,,,68.29,,,,,,,,,,,,51.14,,,,,,,,,,,,43.33,,,,,,,,,
土屋ホールディングス,T1840,,,,,,,,,,2.03,,,,,,,,,,,,2.57,,,,,,,,,,,,2.05,,,,,,,,,,,,2.41,,
サンユー建設,T1841,,,34.3,,,,,,,,,,,,27.11,,,,,,,,,,,,17.91,,,,,,,,,,,,24.24,,,,,,,,,
大盛工業,T1844,,,,,,,106.97,,,,,,,,,,,,118.94,,,,,,,,,,,,100.36,,,,,,,,,,,,100.35,,,,,
イチケン,T1847,,,196.73,,,,,,,,,,,,141.11,,,,,,,,,,,,119.58,,,,,,,,,,,,115.1,,,,,,,,,
富士ピー・エス,T1848,,,177.87,,,,,,,,,,,,188.77,,,,,,,,,,,,168.91,,,,,,,,,,,,175.29,,,,,,,,,
南海辰村建設,T1850,,,281.35,,,,,,,,,,,,227.18,,,,,,,,,,,,233.06,,,,,,,,,,,,165.91,,,,,,,,,
浅沼組,T1852,,,159.35,,,,,,,,,,,,150.99,,,,,,,,,,,,113.45,,,,,,,,,,,,100.85,,,,,,,,,
森組,T1853,,,122.35,,,,,,,,,,,,93.93,,,,,,,,,,,,79.51,,,,,,,,,,,,81.96,,,,,,,,,
戸田建設,T1860,,,148.61,,,,,,,,,,,,132.69,,,,,,,,,,,,136.76,,,,,,,,,,,,142.76,,,,,,,,,
熊谷組,T1861,,,168.2,,,,,,,,,,,,166.62,,,,,,,,,,,,141.2,,,,,,,,,,,,127.29,,,,,,,,,
北野建設,T1866,,,71.99,,,,,,,,,,,,63.98,,,,,,,,,,,,90.76,,,,,,,,,,,,72.9,,,,,,,,,
植木組,T1867,,,130.51,,,,,,,,,,,,137.85,,,,,,,,,,,,107.38,,,,,,,,,,,,92.82,,,,,,,,,
名工建設,T1869,,,81.18,,,,,,,,,,,,76.11,,,,,,,,,,,,73.23,,,,,,,,,,,,64.37,,,,,,,,,
矢作建設工業,T1870,,,122.62,,,,,,,,,,,,108.68,,,,,,,,,,,,151.13,,,,,,,,,,,,111.09,,,,,,,,,
ピーエス・コンストラクション,T1871,,,153.78,,,,,,,,,,,,137.35,,,,,,,,,,,,128.51,,,,,,,,,,,,105.75,,,,,,,,,
日本ハウスホールディングス,T1873,,,,,,,,,,83.74,,,,,,,,,,,,75.19,,,,,,,,,,,,91.19,,,,,,,,,,,,103.81,,
新日本建設,T1879,,,59.99,,,,,,,,,,,,57.2,,,,,,,,,,,,50.76,,,,,,,,,,,,50.99,,,,,,,,,
東亜道路工業,T1882,,,148.31,,,,,,,,,,,,118.2,,,,,,,,,,,,108.46,,,,,,,,,,,,94.76,,,,,,,,,
日本道路,T1884,,,91.75,,,,,,,,,,,,73.81,,,,,,,,,,,,69.51,,,,,,,,,,,,65.21,,,,,,,,,
東亜建設工業,T1885,,,213.46,,,,,,,,,,,,205.05,,,,,,,,,,,,190.98,,,,,,,,,,,,169.74,,,,,,,,,
日本国土開発,T1887,,,,,88.41,,,,,,,,,,,,84.18,,,,,,,,,,,,79.29,,,,,,,,,,,,78.9,,,,,,,
若築建設,T1888,,,177,,,,,,,,,,,,174.7,,,,,,,,,,,,183.9,,,,,,,,,,,,120.9,,,,,,,,,
東洋建設,T1890,,,164.1,,,,,,,,,,,,130.12,,,,,,,,,,,,128.9,,,,,,,,,,,,93.87,,,,,,,,,
徳倉建設,T1892,,,321.93,,,,,,,,,,,,308,,,,,,,,,,,,237.35,,,,,,,,,,,,211.63,,,,,,,,,
五洋建設,T1893,,,226.74,,,,,,,,,,,,231.09,,,,,,,,,,,,218.89,,,,,,,,,,,,226.1,,,,,,,,,
金下建設,T1897,,,,,,,,,,,,17.51,,,,,,,,,,,,16.55,,,,,,,,,,,,17.25,,,,,,,,,,,,15.95
世紀東急工業,T1898,,,129.02,,,,,,,,,,,,104.66,,,,,,,,,,,,103.54,,,,,,,,,,,,107.26,,,,,,,,,
福田組,T1899,,,,,,,,,,,,109.47,,,,,,,,,,,,92.01,,,,,,,,,,,,66.27,,,,,,,,,,,,65.94
大成温調,T1904,,,91.45,,,,,,,,,,,,82.61,,,,,,,,,,,,54.06,,,,,,,,,,,,55.59,,,,,,,,,
テノックス,T1905,,,45.43,,,,,,,,,,,,55.74,,,,,,,,,,,,47.21,,,,,,,,,,,,44.95,,,,,,,,,
住友林業,T1911,,,158.68,,,,,,,,,,,,173.44,,,,,,,,,164.35,,,,,,,,,,,,159.63,,,,,,,,,,,,184.65
日本基礎技術,T1914,,,32.31,,,,,,,,,,,,26.11,,,,,,,,,,,,31.59,,,,,,,,,,,,39.29,,,,,,,,,
巴コーポレーション,T1921,,,74.99,,,,,,,,,,,,39.48,,,,,,,,,,,,45.21,,,,,,,,,,,,36.65,,,,,,,,,
大和ハウス工業,T1925,,,127.84,,,,,,,,,,,,126.92,,,,,,,,,,,,126.4,,,,,,,,,,,,121.99,,,,,,,,,
ライト工業,T1926,,,52.33,,,,,,,,,,,,48.52,,,,,,,,,,,,49.32,,,,,,,,,,,,44.63,,,,,,,,,
積水ハウス,T1928,85.57,,,,,,,,,,,,82.29,,,,,,,,,,,,83.16,,,,,,,,,,,,80.93,,,,,,,,,,,
