,code,îNî≈,åéïΩãœécã∆éûä‘,óLãxéÊìæó¶/ëOä˙,ä«óùêEÅEèóê´î‰ó¶,ïΩãœîNóÓçáåv/ëOä˙,fusaiRate,ÉÅÉìÉ^ÉãÉwÉãÉXãxêEé“ó¶,ïΩãœîNä‘ããó^/ëOä˙ÅiëŒêîÅj,è]ã∆àıêîçáåv/ëOä˙ÅiëŒêîÅj,é©å»ìsçáó£êEó¶
118,5393,2019,15.1,53.0,1.4,41.5,79.49,0.007380073800738007,6.840094232783635,3.2111205412580492,0.014612452350698857
119,5393,2020,18.6,57.3,1.2,41.2,79.79,0.004750593824228029,6.838082104400909,3.226342087163631,0.011685116851168511
120,5393,2021,16.4,61.2,1.2,41.1,77.44,0.005205320994794679,6.830820893192378,3.2377949932739227,0.019002375296912115
121,1861,2020,30.8,45.8,4.6,44.8,141.2,0.002002402883460152,6.893723433739984,3.397418542351348,0.011335012594458438
122,1861,2021,30.2,36.9,3.4,44.5,127.29,0.0015515903801396431,6.905476705028358,3.4112829130173843,0.012815378454144974
123,5105,2018,31.1,49.5,3.4,38.9,206.83,0.010523150932050512,6.780049162365736,3.5219222448835006,0.020634431783184477
124,5105,2019,32.7,47.6,4.0,38.7,100.91,0.010398613518197574,6.775783184949656,3.539327063539375,0.018641010222489478
125,5105,2020,36.6,50.0,4.1,38.6,103.69,0.013306908267270668,6.780839016307227,3.548020694905531,0.025707683419988445
126,5105,2021,36.6,65.6,4.4,38.7,104.53,0.012910468706146505,6.780187076292329,3.5518158223510157,0.02406568516421291
127,5333,2018,22.6,67.5,2.0,38.0,92.31,0.010668021336042673,6.895517903543893,3.5951654147902294,0.007297297297297297
128,5333,2019,24.3,68.7,2.0,38.7,87.01,0.009415741187831965,6.894980844028077,3.617210094557434,0.009398018796037593
129,5333,2020,25.2,72.5,2.2,39.0,90.3,0.0065549890750182084,6.896972077318304,3.6147917919564176,0.009415741187831965
130,5333,2021,23.7,77.5,2.7,38.8,81.0,0.01396780303030303,6.890438792651522,3.625723909525756,0.013595532896334061
131,2871,2018,18.1,40.0,8.7,41.1,134.62,0.0009242144177449168,6.782349843371863,3.3352572564345317,0.013934045517882025
132,2871,2019,21.1,34.8,11.0,42.1,91.75,0.000946521533364884,6.822009506773768,3.3248994970523134,0.014787430683918669
133,1871,2018,29.8,36.9,0.5,43.7,153.78,0.0,6.858241331442634,3.0203612826477078,0.026264591439688716
134,1871,2019,36.1,30.9,0.5,44.0,137.35,0.0,6.879753535369875,3.0281644194244697,0.02480916030534351
135,1871,2020,32.2,33.9,0.4,43.7,128.51,0.0,6.904439358682028,3.037027879755775,0.016869728209934397
136,1871,2021,24.6,45.9,0.6,43.7,105.75,0.0009017132551848512,6.905509421305027,3.04493154614916,0.014692378328741965
137,4461,2018,9.3,65.9,6.4,40.6,137.88,0.0102880658436214,6.852334492813997,2.6866362692622934,0.00404040404040404
138,4461,2019,10.9,67.4,8.0,40.9,159.94,0.006036217303822937,6.865438128384657,2.696356388733332,0.0102880658436214
139,4461,2020,14.3,68.5,11.8,40.6,142.72,0.0078125,6.870386053184762,2.709269960975831,0.008048289738430584
140,4461,2021,12.6,73.2,11.9,40.7,132.61,0.007532956685499058,6.864870471189325,2.725094521081469,0.0234375
141,4112,2020,11.5,68.1,12.3,41.8,40.6,0.00228310502283105,6.808278509582768,2.6414741105040997,0.013574660633484163
142,4112,2021,12.0,68.4,14.4,41.7,38.77,0.004618937644341801,6.820070034312326,2.6364878963533656,0.0136986301369863
143,5706,2020,14.0,77.1,1.5,42.1,243.6,0.013381369016984045,6.875982322140781,3.2884728005997825,0.008152173913043478
144,5706,2021,13.7,79.0,2.2,42.0,200.36,0.013793103448275862,6.8583943140408286,3.307496037913213,0.008234688625836336
145,1951,2018,36.1,63.0,0.8,41.8,55.61,0.001339046598821639,6.857875025523563,3.5721743136130595,0.012665198237885462
146,1951,2019,33.6,66.5,1.2,42.1,70.3,0.0013336889837289945,6.868938178332911,3.5739154404215507,0.009105516871987145
147,1951,2020,33.3,66.7,1.5,42.4,67.17,0.001840168243953733,6.878521795501206,3.5802405082653763,0.011202987463323552
148,1951,2021,31.8,63.0,1.6,42.7,86.01,0.002742458239840439,6.880870732532424,3.6032526619816467,0.01025236593059937
149,2216,2018,19.6,54.1,7.7,38.8,87.65,0.0020964360587002098,6.745777217889759,2.678518379040114,0.03260869565217391
150,2216,2019,20.8,51.4,8.3,38.8,77.04,0.002061855670103093,6.772908194971272,2.6857417386022635,0.027253668763102725
151,2216,2020,21.3,52.5,10.2,38.9,76.99,0.0,6.794766797940821,2.733999286538387,0.020618556701030927
152,2216,2021,18.4,67.4,12.3,38.5,80.42,0.0034602076124567475,6.813580988568192,2.761927838420529,0.01845018450184502
153,4008,2020,17.4,76.0,2.2,36.8,34.76,0.004008016032064128,6.790570634649024,2.999130541287371,0.028784648187633263
154,4008,2021,15.6,76.5,2.5,37.1,39.84,0.00682261208576998,6.786601735067714,3.0111473607757975,0.0
155,2805,2018,8.9,57.3,13.8,42.6,129.97,0.0031545741324921135,6.754899264854483,3.1031192535457137,0.008914100486223663
156,2805,2019,9.5,57.7,16.3,42.1,123.25,0.0015128593040847202,6.751811558215836,3.1212314551496214,0.015772870662460567
157,2805,2020,11.0,62.1,15.9,41.8,101.68,0.002851033499643621,6.749346357386066,3.1470576710283598,0.012102874432677761
158,2805,2021,12.0,83.0,16.9,41.6,90.04,0.004891684136967156,6.75156876802467,3.1556396337597765,0.01639344262295082
159,4118,2020,15.7,64.0,2.6,40.7,85.35,0.009817671809256662,6.876993276037705,3.5520595341878844,0.01730496453900709
160,4118,2021,15.8,68.3,3.2,40.8,79.73,0.013795045045045045,6.883788525751526,3.5504729571065634,0.024684431977559606
161,5269,2021,23.0,68.1,1.6,42.3,123.06,0.0,6.77981286317058,2.622214022966295,0.01485148514851485
162,4061,2018,10.0,50.8,0.3,40.1,110.87,0.004054054054054054,6.8102140298333715,3.4712917110589387,0.017821116341627436
163,4061,2019,10.8,55.1,0.6,40.5,123.33,0.005645964795748921,6.824349890294187,3.4787107555127594,0.014527027027027028
164,4061,2020,12.0,62.4,1.1,40.7,102.6,0.004,6.849328491149329,3.5118833609788744,0.013616738625041515
165,4061,2021,11.0,64.9,1.2,40.7,106.02,0.00477754553598089,6.859648638734256,3.524915147539867,0.014153846153846154
166,4502,2018,16.1,66.5,8.3,40.1,105.2,0.004519433564326604,7.00650882777529,3.822037248072585,0.020501474926253687
167,4502,2019,13.9,71.2,9.0,40.7,126.22,0.0035964754540550262,7.0165319409572655,3.7451528950769,0.0326905694486291
168,4502,2020,13.9,74.2,10.2,41.5,144.84,0.0034994167638726877,7.039017321997412,3.7782236267660965,0.044955943175687824
169,2109,2018,18.2,48.4,6.7,41.5,30.61,0.0,6.876833732225934,2.526339277389844,0.014925373134328358
170,2109,2019,15.4,55.9,7.0,41.4,34.26,0.0,6.857056631838979,2.531478917042255,0.008928571428571428
171,2267,2018,8.9,58.9,6.0,41.9,104.83,0.0024475524475524478,6.891438210880421,3.456366033129043,0.018454038997214484
172,2267,2019,8.5,58.8,6.2,42.1,94.43,0.0035112359550561797,6.893780675364921,3.4545399849648186,0.015034965034965035
173,2267,2020,10.5,70.9,6.7,42.2,73.29,0.0034770514603616135,6.893536957877454,3.458788881710845,0.01544943820224719
174,2267,2021,10.7,76.9,7.0,42.1,65.44,0.004163775156141568,6.892291827817598,3.4596939764779706,0.014255910987482615
175,1821,2018,42.2,37.5,1.2,46.5,271.47,0.0045854031333588076,6.873146151328256,3.417803722639881,0.016849529780564265
176,1821,2019,41.3,39.1,1.8,46.4,265.97,0.007100149476831091,6.9086458389071135,3.4274861090957853,0.012609858616736722
177,1821,2020,40.4,39.6,1.8,46.3,257.04,0.0029271862422246614,6.9226735678585545,3.436639631692661,0.013079222720478326
178,1821,2021,28.6,41.3,1.9,46.1,347.34,0.006075768406004289,6.934144811792477,3.446847710155809,0.015367727771679473
179,1963,2021,25.0,63.9,2.3,45.7,59.59,0.012711864406779662,6.936977797487339,2.3729120029701067,0.030755711775043937
180,5715,2018,20.7,58.9,1.0,45.8,165.36,0.004784688995215311,6.89673477205251,2.3201462861110542,0.009345794392523364
181,5715,2019,9.2,58.3,1.2,46.8,167.59,0.0049504950495049506,6.889572561743195,2.305351369446624,0.019138755980861243
