,証券コード,環境(5),企業統治(5),社会性(5),30歳平均賃金,月平均残業時間,有休取得率/前期,従業員の能力・評価結果の公開,勤続年数合計/前期,3年前4月1日入社・合計(入社者定着状況),うち直近4月1日在籍者・合計(入社者定着状況)
654,4902.0,5.0,5.0,5.0,329725.0,15.7,54.2,1.0,20.3,96.0,82.0
657,7751.0,5.0,4.0,5.0,331000.0,9.4,82.0,1.0,19.7,500.0,475.0
659,6952.0,4.0,5.0,5.0,336000.0,16.0,59.1,1.0,18.8,60.0,48.0
660,6513.0,4.0,4.0,4.0,281367.0,5.5,60.9,2.0,17.2,14.0,12.0
661,6645.0,5.0,5.0,5.0,285873.0,12.2,63.6,1.0,19.3,101.0,86.0
662,6914.0,3.0,4.0,4.0,297000.0,14.8,52.0,1.0,15.5,1.0,1.0
667,6859.0,5.0,4.0,4.0,314887.0,8.0,65.8,1.0,19.1,21.0,21.0
668,6925.0,4.0,4.0,4.0,324500.0,10.4,68.5,1.0,19.5,12.0,12.0
673,6754.0,5.0,5.0,5.0,279910.0,11.8,70.4,2.0,20.7,27.0,25.0
674,6770.0,4.0,4.0,4.0,295875.0,9.6,61.4,1.0,19.7,229.0,215.0
675,6728.0,5.0,4.0,4.0,278750.0,16.6,64.3,1.0,16.9,35.0,33.0
677,6857.0,5.0,5.0,4.0,353083.0,19.6,68.7,1.0,21.2,20.0,20.0
678,6845.0,5.0,5.0,5.0,310000.0,20.2,74.0,1.0,20.1,103.0,96.0
679,6762.0,5.0,5.0,4.0,306304.0,16.7,53.6,1.0,18.3,177.0,169.0
681,7735.0,5.0,5.0,5.0,301000.0,19.8,78.9,1.0,18.4,66.0,65.0
682,6703.0,5.0,5.0,4.0,289767.0,24.9,53.0,3.0,19.5,101.0,94.0
683,6701.0,5.0,5.0,5.0,298985.0,19.9,55.8,1.0,18.9,432.0,392.0
685,6632.0,5.0,5.0,4.0,282831.0,11.1,43.6,1.0,23.7,41.0,38.0
686,6652.0,5.0,4.0,5.0,387359.0,1.6,81.6,1.0,17.3,27.0,22.0
687,6866.0,3.0,3.0,3.0,305700.0,8.0,60.0,1.0,19.3,20.0,19.0
689,6737.0,4.0,4.0,3.0,275500.0,11.6,73.9,1.0,16.1,29.0,27.0
690,6633.0,2.0,2.0,2.0,335855.0,11.6,54.8,1.0,16.4,4.0,3.0
694,7282.0,5.0,5.0,5.0,265505.0,7.9,79.5,1.0,18.0,153.0,143.0
695,7220.0,5.0,4.0,4.0,349104.0,15.3,56.3,1.0,15.5,34.0,29.0
697,7205.0,5.0,5.0,5.0,294112.0,11.5,84.5,1.0,16.4,487.0,379.0
701,7235.0,4.0,3.0,3.0,257509.0,14.0,50.2,1.0,15.9,14.0,12.0
702,6995.0,5.0,5.0,5.0,301500.0,11.7,87.9,1.0,18.8,161.0,148.0
703,7245.0,4.0,4.0,4.0,247255.0,12.8,82.6,1.0,15.3,47.0,44.0
704,7250.0,4.0,4.0,3.0,248000.0,20.9,55.6,1.0,13.8,16.0,13.0
705,7012.0,5.0,5.0,5.0,343165.0,17.2,72.3,3.0,14.3,559.0,515.0
706,7224.0,4.0,3.0,4.0,259000.0,25.9,62.1,1.0,14.3,105.0,86.0
707,7238.0,3.0,4.0,4.0,275024.0,10.0,87.0,1.0,19.3,34.0,25.0
712,7266.0,3.0,3.0,3.0,267070.0,12.9,51.6,3.0,18.9,18.0,17.0
713,7226.0,4.0,4.0,4.0,242721.0,29.5,61.8,1.0,14.9,37.0,30.0
715,7271.0,3.0,3.0,3.0,307254.0,21.6,57.0,1.0,17.4,9.0,8.0
719,5949.0,4.0,4.0,4.0,278030.0,18.3,73.6,1.0,17.7,69.0,59.0
720,7272.0,5.0,5.0,5.0,286932.0,9.9,84.2,1.0,17.7,262.0,252.0
722,7261.0,5.0,5.0,5.0,292270.0,14.9,86.3,1.0,17.4,636.0,593.0
725,7241.0,4.0,3.0,3.0,356444.0,20.1,87.1,2.0,15.3,114.0,103.0
726,7299.0,3.0,3.0,3.0,275265.0,13.2,56.0,3.0,15.8,48.0,37.0
728,3116.0,5.0,5.0,5.0,264664.0,13.5,89.6,3.0,17.0,185.0,179.0
730,7203.0,5.0,5.0,5.0,327300.0,19.8,87.9,1.0,18.2,1924.0,1810.0
732,6902.0,5.0,4.0,5.0,326118.0,14.8,96.6,1.0,22.1,987.0,936.0
733,7236.0,5.0,4.0,4.0,275940.0,13.1,61.5,1.0,17.0,29.0,24.0
734,7313.0,4.0,5.0,4.0,304155.0,11.3,96.6,1.0,17.1,50.0,48.0
736,7239.0,4.0,4.0,4.0,260191.0,11.0,67.6,1.0,13.4,52.0,42.0
739,7408.0,3.0,4.0,4.0,268543.0,13.5,67.3,1.0,17.6,36.0,30.0
741,7212.0,4.0,3.0,3.0,253724.0,5.9,92.1,1.0,16.7,25.0,22.0
