東洋経済コード,負債比率,年版
6091,1.34,2017
6092,16.77,2017
6093,17.75,2017
6094,80.89,2017
6095,43.2,2017
6096,33.86,2017
6098,100.99,2017
6099,80.18,2017
6171,36.68,2017
6173,109.03,2017
6174,0,2017
6176,10.95,2017
6177,86.44,2017
6178,4.48,2017
6180,66.65,2017
6181,145.79,2017
6182,19.94,2017
6183,179.05,2017
6184,39.33,2017
6185,36.54,2017
6186,181.24,2017
6189,2.89,2017
6190,18.36,2017
6191,106.77,2017
6193,95.67,2017
6194,22.12,2017
6195,190.16,2017
6196,20.55,2017
6197,159.64,2017
6198,93.26,2017
6199,73.19,2017
6200,44.37,2017
6532,151,2017
6533,190.49,2017
6535,34.69,2017
6537,74.21,2017
6538,22.5,2017
6539,16.27,2017
6540,104.32,2017
6542,0,2017
6543,175.62,2017
6544,2066.35,2017
6545,513.84,2017
6546,86.04,2017
6547,335.84,2017
6548,1175.81,2017
6549,191.53,2017
6551,340.94,2017
6552,26.17,2017
6554,357.77,2017
6555,39.86,2017
6557,0,2017
6558,215.38,2017
6560,72.39,2017
6561,148.77,2017
6562,165.9,2017
6563,386.24,2017
6564,580.79,2017
6565,225.59,2017
6566,39.18,2017
6568,129.47,2017
6570,386.97,2017
6571,315.7,2017
6572,4210,2017
6573,12.01,2017
6574,230.29,2017
6576,0,2017
6577,354.55,2017
6578,126.19,2017
6579,35.84,2017
6580,52.18,2017
6786,31.83,2017
6819,5.31,2017
7030,94.51,2017
7031,0,2017
7033,305.48,2017
7034,152.38,2017
7035,911.11,2017
7036,323.85,2017
7037,229.41,2017
7038,219.7,2017
7039,58.7,2017
7040,0,2017
7041,280.94,2017
7042,149.61,2017
7043,185.71,2017
7044,0,2017
7046,0,2017
7047,0,2017
7048,891.99,2017
7049,0,2017
7050,0,2017
7056,0,2017
7057,0,2017
7058,0,2017
7059,0,2017
7060,0,2017
7061,0,2017
7062,0,2017
7063,0,2017
7064,0,2017
7065,0,2017
7066,0,2017
7067,0,2017
7068,0,2017
7069,0,2017
7071,0,2017
7072,0,2017
7073,0,2017
7074,0,2017
7075,0,2017
7076,0,2017
7077,0,2017
7078,0,2017
7079,0,2017
7080,0,2017
7081,0,2017
7082,0,2017
7083,0,2017
7084,0,2017
7085,0,2017
7087,0,2017
7088,0,2017
7089,0,2017
7090,0,2017
7091,0,2017
7092,0,2017
7093,0,2017
7094,0,2017
7095,0,2017
7096,0,2017
7097,0,2017
7098,0,2017
7351,0,2017
7352,0,2017
7353,0,2017
7354,0,2017
7355,0,2017
7356,0,2017
7357,0,2017
7358,0,2017
7359,0,2017
7360,0,2017
7361,0,2017
7362,0,2017
7363,0,2017
7364,0,2017
7366,0,2017
7367,0,2017
7368,0,2017
7369,0,2017
7370,0,2017
7371,0,2017
7372,0,2017
7373,0,2017
7374,0,2017
7376,0,2017
7378,0,2017
7502,233.69,2017
8769,71.82,2017
8876,300.72,2017
8920,95.59,2017
9158,0,2017
9159,0,2017
9160,0,2017
9162,0,2017
9163,0,2017
9165,0,2017
9167,0,2017
9169,0,2017
9170,0,2017
9211,0,2017
9212,0,2017
9213,0,2017
9214,0,2017
9215,0,2017
9216,0,2017
9218,0,2017
9219,0,2017
9220,0,2017
9221,0,2017
9222,0,2017
9223,0,2017
9225,0,2017
9226,0,2017
9227,0,2017
9229,0,2017
9235,0,2017
9236,0,2017
9237,0,2017
9240,0,2017
9241,0,2017
9242,0,2017
9244,0,2017
9245,0,2017
9246,0,2017
9249,0,2017
9250,0,2017
9251,0,2017
9252,0,2017
9253,0,2017
9254,0,2017
9256,0,2017
9258,0,2017
9259,0,2017
9272,345.26,2017
9330,0,2017
9331,0,2017
9334,0,2017
9335,0,2017
9336,0,2017
9337,0,2017
9338,0,2017
9339,0,2017
9340,0,2017
9341,0,2017
9342,0,2017
9343,0,2017
9344,0,2017
9345,0,2017
9346,0,2017
9348,0,2017
9376,56.48,2017
9388,180.45,2017
9439,56.12,2017
9552,0,2017
9553,0,2017
9554,0,2017
9556,0,2017
9557,0,2017
9558,0,2017
9560,0,2017
9561,0,2017
9562,0,2017
9563,0,2017
9564,0,2017
9565,0,2017
9603,489.79,2017
